,market,start,base_price,end,last_price,increase,pump_length,date_listing,pump_to_listing
105,ATOMBTC,2021-08-27,0.00043536000000000003,2021-09-24,0.0009946,1.284546122748989,28 days,2019-04-29,851 days
106,ATOMBTC,2021-12-17,0.0004651,2022-01-16,0.0010134,1.1788862610191357,30 days,2019-04-29,963 days
107,ATOMUSDT,2020-07-29,3.739,2020-08-23,8.532,1.2818935544263172,25 days,2019-04-29,457 days
108,ATOMUSDT,2021-01-27,7.7344,2021-02-16,25.067,2.2409753827058334,20 days,2019-04-29,639 days
109,ATOMUSDT,2021-09-08,21.128,2021-09-19,44.27,1.0953237410071943,11 days,2019-04-29,863 days
110,AUCTIONBTC,2021-03-25,0.00053862,2021-04-11,0.0010836,1.011807953659352,17 days,2021-02-25,28 days
111,AUCTIONBTC,2023-11-15,0.00022812,2023-12-27,0.0010273,3.5033315798702436,42 days,2021-02-25,993 days
112,AUCTIONUSDT,2023-11-16,8.404,2023-12-20,44.7,4.318895763921943,34 days,2021-10-29,748 days
113,AUDIOBTC,2021-02-20,7.474e-06,2021-03-27,7.219e-05,8.65881723307466,35 days,2020-10-23,120 days
114,AUDIOBTC,2021-08-03,2.8664e-05,2021-08-19,7.04e-05,1.4560424225509354,16 days,2020-10-23,284 days
115,AUDIOUSDT,2020-11-03,0.09310399999999999,2020-11-17,0.18932,1.0334249871111876,14 days,2020-10-23,11 days
116,AUDIOUSDT,2021-01-29,0.212586,2021-03-27,4.03,17.957033859238145,57 days,2020-10-23,98 days
117,AUDIOUSDT,2021-08-03,1.12128,2021-08-19,3.2922,1.936108732876712,16 days,2020-10-23,284 days
118,AUDIOUSDT,2022-03-13,0.7006,2022-04-04,1.739,1.4821581501570085,22 days,2020-10-23,506 days
119,AVAXBTC,2020-12-30,0.000105882,2021-02-10,0.00122205,10.541621805406017,42 days,2020-09-22,99 days
120,AVAXBTC,2021-08-03,0.000338436,2021-08-24,0.001164,2.4393504237137895,21 days,2020-09-22,315 days
121,AVAXBTC,2021-09-08,0.00082054,2021-09-23,0.0017028,1.0752187583786286,15 days,2020-09-22,351 days
122,AVAXBTC,2023-12-04,0.00054668,2023-12-24,0.0011091,1.0287919806833978,20 days,2020-09-22,1168 days
123,AVAXUSDT,2020-12-27,2.91684,2021-02-10,54.6861,17.748405809026206,45 days,2020-09-22,96 days
124,AVAXUSDT,2021-08-03,13.751199999999999,2021-08-24,55.474,3.0341206585607075,21 days,2020-09-22,315 days
125,AVAXUSDT,2021-10-30,64.672,2021-11-22,134.84,1.0849826818406731,23 days,2020-09-22,403 days
126,AVAXUSDT,2023-10-31,11.406,2023-11-19,22.85,1.0033315798702438,19 days,2020-09-22,1134 days
127,AVAXUSDT,2023-11-27,20.832,2023-12-25,48.18,1.3127880184331797,28 days,2020-09-22,1161 days
128,AVABTC,2021-01-03,2.368e-05,2021-01-24,5.85e-05,1.470439189189189,21 days,2020-08-05,151 days
129,AVAUSDT,2021-01-03,0.7891400000000001,2021-04-13,6.2661,6.940416149225739,100 days,2020-11-24,40 days
130,AXSBTC,2021-01-12,1.3556e-05,2021-02-14,4.444e-05,2.2782531720271466,33 days,2020-11-04,69 days
131,AXSBTC,2021-02-24,2.859e-05,2021-04-05,0.00015799,4.526058062259532,40 days,2020-11-04,112 days
132,AXSBTC,2021-06-22,0.000103522,2021-07-23,0.0012676,11.244740248449604,31 days,2020-11-04,230 days
133,AXSBTC,2021-09-21,0.0013062,2021-10-03,0.002852,1.1834328586740162,12 days,2020-11-04,321 days
134,AXSUSDT,2020-11-26,0.391138,2020-12-18,0.8244,1.1076960049905662,22 days,2020-11-04,22 days
135,AXSUSDT,2021-01-12,0.50064,2021-02-14,2.15325,3.30099472674976,33 days,2020-11-04,69 days
136,AXSUSDT,2021-02-23,1.3761160000000001,2021-03-14,5.83924,3.243276002895105,19 days,2020-11-04,111 days
137,AXSUSDT,2021-03-25,3.797054,2021-04-05,9.30923,1.4516980796164602,11 days,2020-11-04,141 days
138,AXSUSDT,2021-06-22,3.2906,2021-09-04,82.41,24.044064912174072,74 days,2020-11-04,230 days
139,AXSUSDT,2021-09-21,57.698,2021-10-03,137.39,1.3811917224167212,12 days,2020-11-04,321 days
140,BADGERBTC,2021-07-22,0.00024828,2021-08-10,0.0007117,1.8665216690832933,19 days,2021-03-02,142 days
141,BADGERUSDT,2021-07-20,7.272200000000001,2021-08-10,32.286,3.4396468743983935,21 days,2021-03-02,140 days
142,BADGERUSDT,2021-09-29,15.34,2021-10-13,36.6,1.3859191655801826,14 days,2021-03-02,211 days
143,BALBTC,2021-01-12,0.00045443999999999997,2021-02-12,0.001098,1.4161605492474256,31 days,2020-08-06,159 days
144,BALUSDT,2021-01-21,19.601399999999998,2021-02-12,51.964,1.6510351301437654,22 days,2020-08-11,163 days
145,BANDBTC,2020-02-26,3.41e-05,2020-03-10,8.255e-05,1.4208211143695013,13 days,2019-09-18,161 days
146,BANDBTC,2020-04-01,4.4842e-05,2020-05-01,0.00014308,2.1907586637527316,30 days,2019-09-18,196 days
147,BANDBTC,2020-06-27,0.000118094,2020-08-12,0.001273,9.779548495266484,46 days,2019-09-18,283 days
148,BANDBTC,2022-10-20,5.414e-05,2022-11-10,0.0001366,1.5230882896195053,21 days,2019-09-18,1128 days
149,BANDUSDT,2020-02-26,0.30746,2020-03-10,0.6525,1.122227281597606,13 days,2019-09-18,161 days
150,BANDUSDT,2020-03-29,0.28842,2020-05-01,1.2591,3.3655086332431874,33 days,2019-09-18,193 days
151,BANDUSDT,2020-06-27,1.0821399999999999,2020-08-09,14.9019,12.770769031733417,43 days,2019-09-18,283 days
152,BANDUSDT,2021-01-27,8.7188,2021-02-12,18.6763,1.1420723035280087,16 days,2019-09-18,497 days
153,BANDUSDT,2022-10-20,1.0402,2022-11-05,2.789,1.681215150932513,16 days,2019-09-18,1128 days
