,market,last_slope,last_slope_adi,aroon_up,aroon_down,aroon_diff,macd_diff,macd_line,macd_signal,stochastic,stochastic_signal,delta_stochastic,rsi_val,coef_corr,last_slope_btc,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,avg prob,logreg,rf,avg,init_price,max_price,cur_price,% to max,% to last
348,MBOXUSDT,1.354395217,-0.381732647,88,36,52,1.46458756,2.011292059,0.546704499,49.90215264,59.70563245,-9.803479803,55.52236352,-0.257666617,2.346306542,0.546905946,0.420640318,0.271579354,0.489267996,0.552360576,0.77521556,0.509328292,0.70043716,0.9,0.80021858,0.3404,0.5384,0.5157,58.17%,51.50%
145,CTXCBTC,-1.664082875,0.762247048,48,0,48,-1.70222259,2.502826636,4.205049226,40.38004751,39.42992874,0.950118765,53.99318604,0.421574443,2.346306542,0.71494949,0.721178958,0.583513294,0.508505787,0.547195924,0.534790427,0.60168898,0.798652442,0.8,0.799326221,1.21E-05,1.23E-05,1.18E-05,1.32%,-2.97%
33,ALPINEBTC,-0.413854252,-0.263117089,8,88,-80,-0.277410381,-1.455905949,-1.178495568,38.0733945,34.03492588,4.038468614,41.45586397,-0.712240763,2.346306542,0.475144265,0.45249435,0.558120675,0.587537994,0.462272375,0.873376257,0.568157653,0.880889105,0.7,0.790444552,4.24E-05,4.30E-05,4.30E-05,1.34%,1.34%
571,WAXPBTC,-0.284107743,-1.503425764,8,88,-80,0.028707153,-2.465630296,-2.494337448,23.52941176,22.91021672,0.619195046,26.72571741,-0.547527537,2.346306542,0.506560696,0.462994012,0.468089284,0.64650065,0.589652858,0.632940406,0.551122984,0.777222386,0.8,0.788611193,1.14E-06,1.16E-06,1.15E-06,1.75%,0.88%
593,XVGUSDT,1.457117315,-0.063061238,96,0,96,1.132769548,1.421949288,0.289179741,60.67669173,70.94285918,-10.26616745,70.84657114,0.203892165,2.346306542,0.415214189,0.421809597,0.576016321,0.534790427,0.229848459,1,0.529613166,0.874605775,0.7,0.787302888,0.003838,0.008167,0.006016,112.79%,56.75%
99,BNTBTC,-0.09004807,-0.481130187,0,100,-100,-0.157326692,-1.346809413,-1.189482721,21.53846154,18.72417339,2.814288151,32.42483273,0.096635155,2.346306542,0.446198818,0.446991537,0.505765526,0.566144706,0.508505787,0.632940406,0.517757797,0.664637707,0.9,0.782318854,1.55E-05,1.56E-05,1.53E-05,0.52%,-0.84%
596,YFIBTC,-0.241034821,-0.783581996,0,92,-92,-0.117430241,-2.110182651,-1.99275241,15,14.65251544,0.34748456,21.83799354,-0.554057325,2.346306542,0.495539559,0.52282855,0.487538818,0.572258442,0.615559856,0.632940406,0.554444272,0.761372806,0.8,0.780686403,0.1491,0.1499,0.1495,0.54%,0.27%
42,API3BTC,4.176377674,-0.499876932,88,12,76,0.51177139,11.21280768,10.70103629,52.20306513,53.74627501,-1.543209877,59.82713351,0.067359181,2.346306542,0,1,0.430006038,0.679721325,0.492723862,0.696890491,0.549890286,0.959083286,0.6,0.779541643,7.92E-05,7.99E-05,7.95E-05,0.88%,0.33%
568,WANUSDT,0.398247787,-0.283883525,84,0,84,0.939676884,1.623780804,0.68410392,35.395189,39.63344788,-4.238258877,53.13814203,0.055749725,2.346306542,0.591840788,0.392699939,0.387353579,0.683087144,0.548114121,0.632940406,0.53933933,0.754278381,0.8,0.777139191,0.2237,0.2857,0.283,27.72%,26.51%
423,PONDBTC,-1.416953142,-1.01154326,48,4,44,-3.926214245,1.542616945,5.46883119,4.347826087,2.898550725,1.449275362,46.59804868,0.179378492,2.346306542,0.623405942,0.462994012,0.923491673,0.782866702,0.498271267,0.77521556,0.677707526,0.953090213,0.6,0.776545106,4.30E-07,4.40E-07,4.40E-07,2.33%,2.33%
