,Unnamed: 0,coin,base_date,base_price,max_date,max_price,pct_change,pump_length,date_listing,pump_to_listing,state
408,408,omi,02-02-2021,3.0020805277760968e-05,20-03-2021,0.013092630223310048,435.11855518775513,61,14-05-2019,630,bearish
409,409,one,09-01-2021,0.004107048805703268,29-03-2021,0.2029758446699219,48.421337381737175,88,02-06-2019,587,bullish
411,411,orbs,18-02-2021,0.01456927054127007,17-03-2021,0.27629785230296183,17.96442594845766,44,09-04-2019,681,bullish
413,413,orn,03-02-2021,2.1568128725447973,23-03-2021,27.747593954066712,11.8650910365384,69,16-07-2020,202,bullish
414,414,ousd,05-01-2021,0.14553754548917242,09-02-2021,1.0361025014471368,6.11914233515928,69,24-09-2020,103,bearish
417,417,pac,01-03-2018,2.034902785430969e-05,10-03-2018,0.01659284777534436,814.4123083491768,12,30-09-2017,152,bearish
418,418,pac,21-07-2020,8.569277307721988e-05,12-09-2020,0.0008319647073007731,8.708691613364747,53,30-09-2017,1025,bullish
419,419,pac,13-02-2021,0.00116125295651721,22-03-2021,0.017065165076797853,13.695476107099964,44,30-09-2017,1232,bullish
421,421,perp,05-01-2021,0.9395027308497788,06-02-2021,7.894168535776777,7.402496636317933,44,09-09-2020,118,bearish
423,423,phb,29-10-2021,0.00673093171773341,10-11-2021,0.9151944162772848,134.96845944315558,42,08-11-2017,1451,bullish
424,424,pla,30-06-2021,0.10939360399717614,31-08-2021,1.3060678104437216,10.93916063390174,69,10-03-2021,112,bearish
425,425,plu,27-06-2020,1.7466322118709698,12-08-2020,17.081001731009763,8.779392372887031,63,08-12-2017,932,bullish
427,427,pnd,20-07-2014,2.23517e-06,21-08-2014,2.56454e-05,10.473579190844543,39,27-02-2014,143,bearish
428,428,pnd,11-09-2014,6.578189999999998e-06,15-10-2014,5.0984650976587704e-05,6.750559192815609,37,27-02-2014,196,bearish
429,429,pnd,20-05-2015,2.9702333357296603e-07,29-07-2015,2.739086354298518e-06,8.22178847482917,77,27-02-2014,447,bearish
430,430,pnd,26-08-2015,5.140278443215796e-07,10-10-2015,4.883809926972792e-06,8.501061043528694,55,27-02-2014,545,bearish
431,431,pnd,21-04-2017,3.3374133585e-06,10-06-2017,5.8749076e-05,16.603176379207866,50,27-02-2014,1149,bearish
432,432,pnd,22-10-2017,1.3544358663882974e-05,12-01-2018,0.00241504286840914,177.30618107072345,83,27-02-2014,1333,bearish
433,433,pnd,07-10-2019,3.542122317473136e-06,07-11-2019,9.27500403897404e-05,25.1848778999552,36,27-02-2014,2048,bearish
434,434,pnd,23-12-2019,1.1466758961044033e-05,13-02-2020,0.000103275394310206,8.006502592499155,54,27-02-2014,2125,bearish
435,435,pnd,11-03-2020,7.210987934873822e-06,09-06-2020,0.00017075472590607577,22.67979636746732,90,27-02-2014,2204,bearish
436,436,pnd,16-12-2020,1.4750088841065778e-05,15-03-2021,0.0005995202748685309,39.645197552939756,89,27-02-2014,2484,bearish
437,437,pnd,12-04-2021,4.292391818962829e-05,21-05-2021,0.0008333902389079563,18.415521090740697,59,27-02-2014,2601,bearish
438,438,pnd,26-07-2021,6.847525532412938e-05,14-08-2021,0.000925559104533786,12.51669446360774,24,27-02-2014,2706,bearish
439,439,pnd,15-09-2021,4.810193941297789e-05,16-09-2021,0.0006760382910536341,13.054283451016927,24,27-02-2014,2757,bullish
440,440,pnd,09-10-2021,8.999795313701361e-05,12-11-2021,0.000651544660172545,6.239549761544334,36,27-02-2014,2781,bearish
441,441,pnd,31-01-2022,6.220044211957204e-05,12-02-2022,0.0006112605489502126,8.82727016272884,16,27-02-2014,2895,bullish
442,442,pnk,02-07-2020,0.01868024605062489,14-08-2020,0.1744563967337378,8.33908452067214,55,17-08-2018,685,bullish
444,444,pny,08-10-2018,0.0005273388344606591,09-11-2018,0.004964922234884481,8.415051406108567,47,13-06-2018,117,bearish
445,445,pny,20-02-2019,0.00012526866723475054,23-02-2019,0.3027181194185554,2415.5509708127474,3,13-06-2018,252,bearish
446,446,pny,27-06-2019,0.004385709320797661,04-07-2019,0.030732044704412813,6.007314542867002,10,13-06-2018,379,bearish
447,447,pny,30-01-2021,0.00683419880221783,22-02-2021,0.17681779521759244,24.87249805496025,23,13-06-2018,962,bearish
448,448,pny,09-06-2021,0.10677510866321437,10-08-2021,1.1661186216501331,9.92125904856961,85,13-06-2018,1092,bullish
